race_id,馬番,評価,評価スコア
202501010101,1,C,1.0
202501010101,2,B,2.0
202501010101,3,B,2.0
202501010101,4,B,2.0
202501010101,5,B,2.0
202501010101,6,C,1.0
202501010101,7,C,1.0
202501010101,8,C,1.0
202501010101,9,C,1.0
202501010101,11,B,2.0
202501010101,12,C,1.0
202501010102,1,C,1.0
202501010102,2,C,1.0
202501010102,3,C,1.0
202501010102,5,B,2.0
202501010102,6,C,1.0
202501010102,7,C,1.0
202501010102,8,C,1.0
202501010102,9,B,2.0
202501010102,10,C,1.0
202501010102,11,C,1.0
202501010102,12,B,2.0
202501010103,1,C,1.0
202501010103,2,B,2.0
202501010103,3,C,1.0
202501010103,4,C,1.0
202501010103,5,B,2.0
202501010103,6,C,1.0
202501010103,7,C,1.0
202501010103,8,C,1.0
202501010103,9,C,1.0
202501010103,10,B,2.0
202501010103,11,B,2.0
202501010103,12,C,1.0
202501010103,13,B,2.0
202501010103,14,B,2.0
202501010104,1,B,2.0
202501010104,2,B,2.0
202501010104,3,B,2.0
202501010104,4,B,2.0
202501010104,5,C,1.0
202501010104,6,C,1.0
202501010104,7,B,2.0
202501010104,8,B,2.0
202501010104,9,B,2.0
202501010104,11,C,1.0
202501010104,12,C,1.0
202501010104,13,C,1.0
202501010104,14,B,2.0
202501010105,1,B,2.0
202501010105,2,B,2.0
202501010105,3,B,2.0
202501010105,4,B,2.0
202501010105,5,B,2.0
202501010105,6,B,2.0
202501010105,7,B,2.0
202501010105,8,A,3.0
202501010105,9,A,3.0
202501010105,10,B,2.0
202501010105,11,C,1.0
202501010105,12,C,1.0
202501010105,13,B,2.0
202501010106,1,B,2.0
202501010106,2,C,1.0
202501010106,3,C,1.0
202501010106,4,C,1.0
202501010106,5,B,2.0
202501010106,6,B,2.0
202501010106,7,C,1.0
202501010106,8,B,2.0
202501010106,9,B,2.0
202501010106,10,B,2.0
202501010106,11,B,2.0
202501010106,12,C,1.0
202501010106,13,B,2.0
202501010106,14,B,2.0
202501010107,1,B,2.0
202501010107,2,C,1.0
202501010107,3,C,1.0
202501010107,4,B,2.0
202501010107,5,B,2.0
202501010107,6,B,2.0
202501010107,7,B,2.0
202501010107,8,C,1.0
202501010108,1,B,2.0
202501010108,2,B,2.0
202501010108,3,B,2.0
202501010108,4,B,2.0
202501010108,5,A,3.0
202501010109,1,B,2.0
202501010109,2,C,1.0
202501010109,3,C,1.0
202501010109,4,C,1.0
202501010109,5,B,2.0
202501010109,6,C,1.0
202501010109,7,C,1.0
202501010109,8,C,1.0
202501010109,9,B,2.0
202501010109,10,B,2.0
202501010109,11,B,2.0
202501010109,12,B,2.0
202501010109,13,C,1.0
202501010110,1,C,1.0
202501010110,2,B,2.0
202501010110,3,C,1.0
202501010110,4,B,2.0
202501010110,5,B,2.0
202501010110,6,B,2.0
202501010110,7,B,2.0
202501010110,8,C,1.0
202501010110,9,B,2.0
202501010110,10,B,2.0
202501010110,11,B,2.0
202501010110,12,B,2.0
202501010110,13,C,1.0
202501010111,1,B,2.0
202501010111,2,B,2.0
202501010111,3,B,2.0
202501010111,4,B,2.0
202501010111,5,B,2.0
202501010111,6,B,2.0
202501010111,7,B,2.0
202501010111,8,B,2.0
202501010111,9,C,1.0
202501010111,10,B,2.0
202501010111,11,C,1.0
202501010111,12,B,2.0
202501010112,1,C,1.0
202501010112,2,C,1.0
202501010112,3,B,2.0
202501010112,4,B,2.0
202501010112,5,C,1.0
202501010112,6,B,2.0
202501010112,7,B,2.0
202501010112,8,B,2.0
202501010112,9,B,2.0
202501010112,10,B,2.0
202501010112,11,B,2.0
202501010112,12,C,1.0
202501010112,13,C,1.0
202501010112,14,C,1.0
202501010201,1,C,1.0
202501010201,2,C,1.0
202501010201,3,C,1.0
202501010201,4,C,1.0
202501010201,5,C,1.0
202501010201,6,C,1.0
202501010201,7,C,1.0
202501010201,8,B,2.0
202501010201,9,C,1.0
202501010201,10,B,2.0
202501010201,11,B,2.0
202501010201,12,B,2.0
202501010201,13,C,1.0
202501010201,14,C,1.0
202501010202,1,C,1.0
202501010202,2,C,1.0
202501010202,3,C,1.0
202501010202,4,C,1.0
202501010202,5,B,2.0
202501010202,6,C,1.0
202501010202,7,B,2.0
202501010202,8,B,2.0
202501010202,9,C,1.0
202501010202,10,C,1.0
202501010202,11,B,2.0
202501010202,12,B,2.0
202501010202,13,C,1.0
202501010202,14,C,1.0
202501010203,1,C,1.0
202501010203,2,B,2.0
202501010203,3,B,2.0
202501010203,5,B,2.0
202501010203,6,C,1.0
202501010203,7,C,1.0
202501010203,8,C,1.0
202501010203,10,C,1.0
202501010203,11,B,2.0
202501010203,12,B,2.0
202501010203,13,B,2.0
202501010203,14,C,1.0
202501010204,1,B,2.0
202501010204,2,B,2.0
202501010204,3,B,2.0
202501010204,4,C,1.0
202501010204,5,B,2.0
202501010204,6,C,1.0
202501010204,7,B,2.0
202501010204,8,C,1.0
202501010204,9,C,1.0
202501010205,1,B,2.0
202501010205,2,B,2.0
202501010205,4,C,1.0
202501010205,5,B,2.0
202501010205,6,A,3.0
202501010206,1,B,2.0
202501010206,3,C,1.0
202501010206,4,C,1.0
202501010206,5,C,1.0
202501010206,6,B,2.0
202501010206,7,C,1.0
202501010206,8,C,1.0
202501010206,9,C,1.0
202501010207,1,B,2.0
202501010207,2,B,2.0
202501010207,3,B,2.0
202501010207,4,B,2.0
202501010207,5,A,3.0
202501010207,6,B,2.0
202501010207,7,C,1.0
202501010207,8,B,2.0
202501010207,9,C,1.0
202501010207,10,B,2.0
202501010207,11,B,2.0
202501010207,12,C,1.0
202501010207,13,C,1.0
202501010208,1,B,2.0
202501010208,2,A,3.0
202501010208,3,C,1.0
202501010208,4,B,2.0
202501010208,5,C,1.0
202501010208,6,B,2.0
202501010208,7,B,2.0
202501010208,8,B,2.0
202501010209,2,B,2.0
202501010209,3,B,2.0
202501010209,4,C,1.0
202501010209,5,C,1.0
202501010209,6,B,2.0
202501010209,7,B,2.0
202501010209,8,B,2.0
202501010209,9,C,1.0
202501010210,1,C,1.0
202501010210,2,B,2.0
202501010210,3,B,2.0
202501010210,4,C,1.0
202501010210,5,C,1.0
202501010210,6,B,2.0
202501010210,7,B,2.0
202501010210,8,B,2.0
202501010211,1,B,2.0
202501010211,2,B,2.0
202501010211,3,C,1.0
202501010211,4,B,2.0
202501010211,5,B,2.0
202501010211,6,C,1.0
202501010211,7,C,1.0
202501010211,8,B,2.0
202501010211,9,B,2.0
202501010211,10,B,2.0
202501010212,1,B,2.0
202501010212,2,B,2.0
202501010212,3,C,1.0
202501010212,4,B,2.0
202501010212,5,C,1.0
202501010212,6,B,2.0
202501010212,7,C,1.0
202501010212,8,C,1.0
202501010301,1,C,1.0
202501010301,2,C,1.0
202501010301,3,C,1.0
202501010301,4,B,2.0
202501010301,5,B,2.0
202501010301,6,B,2.0
202501010301,7,C,1.0
202501010301,8,B,2.0
202501010302,1,B,2.0
202501010302,2,C,1.0
202501010302,3,C,1.0
202501010302,5,C,1.0
202501010302,6,B,2.0
202501010302,7,C,1.0
202501010302,8,C,1.0
202501010302,9,C,1.0
202501010302,10,B,2.0
202501010302,11,B,2.0
202501010302,12,B,2.0
202501010303,2,B,2.0
202501010303,3,B,2.0
202501010303,4,C,1.0
202501010303,5,C,1.0
202501010303,6,C,1.0
202501010303,7,C,1.0
202501010303,8,C,1.0
202501010303,9,C,1.0
202501010303,10,B,2.0
202501010303,11,B,2.0
202501010303,12,B,2.0
202501010303,13,C,1.0
202501010303,14,C,1.0
202501010304,1,B,2.0
202501010304,2,B,2.0
202501010304,3,B,2.0
202501010304,4,C,1.0
202501010304,5,C,1.0
202501010304,6,B,2.0
202501010304,7,B,2.0
202501010304,8,C,1.0
202501010304,9,B,2.0
202501010304,10,B,2.0
202501010304,11,C,1.0
202501010304,12,C,1.0
202501010304,13,B,2.0
202501010304,14,B,2.0
202501010304,15,B,2.0
202501010304,16,C,1.0
202501010305,1,B,2.0
202501010305,2,C,1.0
202501010305,3,B,2.0
202501010305,4,B,2.0
202501010305,5,A,3.0
202501010305,6,A,3.0
202501010305,7,B,2.0
202501010305,8,B,2.0
202501010305,9,B,2.0
202501010305,10,B,2.0
202501010305,11,B,2.0
202501010306,1,B,2.0
202501010306,2,B,2.0
202501010306,3,B,2.0
202501010306,4,C,1.0
202501010306,5,C,1.0
202501010306,6,C,1.0
202501010306,7,B,2.0
202501010307,1,C,1.0
202501010307,2,A,3.0
202501010307,3,C,1.0
202501010307,4,B,2.0
202501010307,5,B,2.0
202501010307,6,C,1.0
202501010307,7,B,2.0
202501010307,8,C,1.0
202501010307,9,B,2.0
202501010307,10,B,2.0
202501010308,1,B,2.0
202501010308,2,C,1.0
202501010308,3,B,2.0
202501010308,4,B,2.0
202501010308,5,B,2.0
202501010308,6,C,1.0
202501010308,7,C,1.0
202501010308,8,B,2.0
202501010308,9,C,1.0
202501010308,10,B,2.0
202501010308,11,C,1.0
202501010309,1,B,2.0
202501010309,2,B,2.0
202501010309,3,C,1.0
202501010309,4,B,2.0
202501010309,5,C,1.0
202501010309,6,B,2.0
202501010309,8,B,2.0
202501010309,9,B,2.0
202501010309,10,C,1.0
202501010310,1,B,2.0
202501010310,2,B,2.0
202501010310,3,C,1.0
202501010310,4,C,1.0
202501010310,5,B,2.0
202501010310,6,B,2.0
202501010310,7,B,2.0
202501010310,8,B,2.0
202501010310,9,B,2.0
202501010310,10,B,2.0
202501010310,11,C,1.0
202501010310,12,C,1.0
202501010310,13,B,2.0
202501010310,14,B,2.0
202501010311,1,B,2.0
202501010311,2,B,2.0
202501010311,3,B,2.0
202501010311,4,B,2.0
202501010311,5,B,2.0
202501010311,6,B,2.0
202501010311,7,B,2.0
202501010311,8,C,1.0
202501010311,9,C,1.0
202501010311,10,B,2.0
202501010311,11,B,2.0
202501010311,12,B,2.0
202501010311,13,C,1.0
202501010311,14,B,2.0
202501010311,15,B,2.0
202501010311,16,B,2.0
202501010312,1,B,2.0
202501010312,2,B,2.0
202501010312,3,B,2.0
202501010312,4,B,2.0
202501010312,5,B,2.0
202501010312,6,B,2.0
202501010312,7,B,2.0
202501010312,8,C,1.0
202501010312,9,C,1.0
202501010312,10,B,2.0
202501010312,11,B,2.0
202501010312,12,B,2.0
202501010312,13,B,2.0
202501010312,14,A,3.0
202501010401,1,B,2.0
202501010401,2,B,2.0
202501010401,3,C,1.0
202501010401,4,B,2.0
202501010401,5,B,2.0
202501010401,6,B,2.0
