馬ID,父,父系,母,母系,母父,母父系
2011100643,テイエムオペラオー,sWells系,テイエムヨカオゴ,FNo.[1-d],ヘネシーHennessy(米),不明
2011101125,ステイゴールド,Halo系,シャドウシルエット,FNo.[4-i],シンボリクリスエス,不明
2011101814,ジャングルポケット,ゼダーン系,シンコウローズ,FNo.[1-l],ブライアンズタイムBrian'sTime(米),不明
2011106610,タニノギムレット,Roberto系,クロネコ,FNo.[3-c],ダンスインザダーク,不明
2012100517,ブラックタイド,Halo系,タガノレヴェントン,FNo.[9-f],キングカメハメハ,不明
2012100518,サクラバクシンオー,テスコボーイ系,ダイシンモード,FNo.[6-a],マイネルラヴ,不明
2012100683,マツリダゴッホ,Halo系,コスモクラッベ,FNo.[4-l],マイネルラヴ,不明
2012101505,アドマイヤムーン,Mr.Prospector系,ロイヤルアタック,FNo.[9-f],ジェネラスGenerous(愛),不明
2012102070,ヨハネスブルグJohannesburg(米),StormBird系,エンプレスロッチ,FNo.[11-c],カコイーシーズCacoethes(米),不明
2012102157,カンパニー,ゼダーン系,クリスタルコースト,FNo.[5-g],サンデーサイレンスSundaySilence(米),不明
2012102486,ネオユニヴァース,Halo系,フレームオブトゥルースFlameofTruth(英),FNo.[4-m],RainbowQuest(米),不明
2012102503,ソングオブウインド,Mr.Prospector系,バイオレントムーヴ,FNo.[A1],SeekingtheGold,不明
2012103249,ヨハネスブルグJohannesburg(米),StormBird系,シーイズトウショウ,FNo.[3-l],サクラバクシンオー,不明
2012103405,タイキシャトル,Halo系,ユキノマーメイド,FNo.[4-i],スペシャルウィーク,不明
2012103532,ステイゴールド,Halo系,ウェンブリー,FNo.[1-x],サッカーボーイ,不明
2012103700,ステイゴールド,Halo系,アーミールージュArmeeRouge(米),FNo.[1-d],Miswaki,不明
2012103796,マンハッタンカフェ,Halo系,ベストブートBestBoot(米),FNo.[10-a],StormBoot,不明
2012104392,キングカメハメハ,Mr.Prospector系,ペディクラリス,FNo.[4-n],サンデーサイレンスSundaySilence(米),不明
2012104440,ハーツクライ,Halo系,モスコーバーニングMoscowBurning(米),FNo.[3-i],MoscowBallet(米),不明
2012104463,メイショウサムソン,sWells系,ランペイア,FNo.[2-s],アグネスタキオン,不明
2012104504,ゴールドアリュール,Halo系,アガルタ,FNo.[4-r],キングカメハメハ,不明
2012104882,ネオユニヴァース,Halo系,ユーアンミーUanme(米),FNo.[4-g],Marquetry,不明
2013100677,ダノンシャンティ,Halo系,メジロフランシス,FNo.[10-d],カーネギーCarnegie(愛),不明
2013100731,ディープインパクト,Halo系,マイティーカラー,FNo.[12-c],トニービンTonyBin(愛),不明
2013100975,キングヘイロー,Lyphard系,クリノビリオネア,FNo.[7-c],ディアブロDiablo(米),不明
2013101031,ブラックタイド,Halo系,バズマイハート,FNo.[1-c],Unbridled,不明
2013101259,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,アラマサダンサー,FNo.[4-l],ダンシングブレーヴDancingBrave(米),不明
2013101315,オレハマッテルゼ,Halo系,ラブハート,FNo.[4-m],マイネルラヴ,不明
2013101799,マンハッタンカフェ,Halo系,エミナ,FNo.[20-c],デインヒルDanehill(米),不明
2013101904,ステイゴールド,Halo系,コスモスプラッシュ,FNo.[7-c],メジロブライト,不明
2013102840,ハーツクライ,Halo系,シャルマンスタイル,FNo.[23-b],タイキシャトル,不明
2013103569,スウェプトオーヴァーボードSweptOverboard(米),Mr.Prospector系,アドマイヤモンロー,FNo.[1-n],Caerleon(米),不明
2013103590,ステイゴールド,Halo系,ファニーモークFunnyMauk(米),FNo.[14-c],DistortedHumor(米),不明
2013103646,キンシャサノキセキ,Halo系,イソシギ,FNo.[1-k],タイキシャトル,不明
2013103671,ヨハネスブルグJohannesburg(米),StormBird系,フローラルホーム,FNo.[4-d],ケイムホームCameHome(米),不明
2013103687,ダイワメジャー,Halo系,インコンパスEncompass(仏),FNo.[14-f],Sadler'sWells(米),不明
2013103792,スタチューオブリバティStatueofLiberty(米),StormBird系,ローランシノワーズ,FNo.[4-d],トニービンTonyBin(愛),不明
2013103941,マツリダゴッホ,Halo系,キョウエイハツラツ,FNo.[9-c],オペラハウスOperaHouse(英),不明
2013103958,コンデュイットConduit(愛),MillReef系,スプリングボード,FNo.[16-g],アサティスAssatis(米),不明
2013104025,メイショウサムソン,sWells系,クインズプレイヤー,FNo.[B3],トウカイテイオー,不明
2013104027,ゴールドアリュール,Halo系,コーディーラインCordyline(米),FNo.[4-d],Miswaki,不明
2013104030,ヴァーミリアン,Mr.Prospector系,ジュエリークイーン,FNo.[4-m],フサイチコンコルド,不明
2013104055,アドマイヤマックス,Halo系,ケイティローレル,FNo.[1-x],サクラローレル,不明
2013104137,サウスヴィグラス,Mr.Prospector系,スズカシャンティー,FNo.[1-x],Giant'sCauseway(米),不明
2013104310,アッミラーレ,Halo系,キャッスルローズ,FNo.[13-c],スターリングローズ,不明
2013104814,エンパイアメーカーEmpireMaker(米),Mr.Prospector系,テンザンデザート,FNo.[16-a],GreenDesert,不明
2013105031,ナカヤマフェスタ,Halo系,アスクレピアス,FNo.[2-f],ヘクタープロテクターHectorProtector(米),不明
2013105125,サムライハート,Halo系,ヨーカンドパリ,FNo.[4-p],ティンバーカントリーTimberCountry(米),不明
2013105140,ブラックタイド,Halo系,ダンゼロゴールド,FNo.[13-b],Danzero,不明
2013105399,キングカメハメハ,Mr.Prospector系,エアメサイア,FNo.[4-r],サンデーサイレンスSundaySilence(米),不明
2013105495,フレンチデピュティFrenchDeputy(米),DeputyMinister系,ジャドール,FNo.[5-d],フジキセキ,不明
2013105594,ハービンジャーHarbinger(英),Danzig系,ピクシーダスト,FNo.[16-g],サンデーサイレンスSundaySilence(米),不明
2013105645,ダイワメジャー,Halo系,マウンテンエンジェルMountainAngel(加),FNo.[22-a],Mt.Livermore,不明
2013105646,ステイゴールド,Halo系,マウントコブラMt.Kobla(米),FNo.[13-c],Mt.Livermore,不明
2013105727,ジャングルポケット,ゼダーン系,レインボーシーカー,FNo.[22],ダンスインザダーク,不明
2013105788,ディープインパクト,Halo系,ウィキウィキ,FNo.[1-m],フレンチデピュティFrenchDeputy(米),不明
